Zuid,Centrum,Oost,West,Noord,vwo,havo,vmbo,Age 0=12-15 1=1,Gender 0=m 1=f,Ethnicity=white,Ethnicity=black,Ethnicity=turkish/moroccan,Ethnicity=other,cigarette smoker (1=yes),vaper(1=yes),shares vapes/cig(0t share=0 share=1),"got shared vapes/cigs (recieved = 1, 0t =1)",reuasble=0 throwaway=1,"Length outside(over 15= 1, uver 15 =0)","socialized (yes=1, no=0)"," big group(up to3=0, >3=1)",bike,fatbike,scooter,visible brand logo(yes=1 no=0),basic,sporty,trendy,streetwear,alternative,preppy
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,,0,1,1,0,,,,0,1,0,0,0,0,0
1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,,0,1,1,0,,,,0,1,0,0,0,0,0
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,,,,1,1,0,,,,1,1,0,0,0,0,0
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,,,,1,1,0,,,,1,1,0,0,0,0,0
1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,1,1,1,,,,0,,,,,,
1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,1,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,1,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,1,1,1,0,1,0,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,0,,,1,0,0,1,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,0,,,1,0,0,0,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,0,,,1,0,0,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,0,,,1,0,0,,,,,,,
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,0,,,,,,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,,,,,,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,,,,,,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,,,,,,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,0,,,,,,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,,,,0,,,,,,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,0,,,,,,,1,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,,,,1,1,,,,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,,,,1,1,,,,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,1,,,1,1,,,,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,1,,,1,1,,,,,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,,1,,,1,1,,,,,0,0,0,0,1,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,,,,1,1,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,,,,1,1,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,,,,1,1,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,,,,1,0,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,,,,1,0,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,,,,1,0,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,,,,1,0,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,,1,,,1,0,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,,,,1,0,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,,,,1,0,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,,1,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,,0,0,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,,0,0,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,,0,0,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,,0,1,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,,0,1,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,1,1,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,,,,1,0,,,,,,,,,,
1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,,,,,1,0,,,,,,0,0,0,0,1
1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,,,,1,0,,,,,,0,0,0,1,0
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,,,,1,0,,,,,,0,1,0,0,0
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,,,,1,0,,,,,,,,,,
0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,,,0,1,0,,,,0,,0,1,0,0,0
0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,,0,,0,1,0,,,,0,,0,1,0,0,0
0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,,0,,0,,,,,,0,,0,1,0,0,0
0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,,0,,0,,,,,,0,,0,1,0,0,0
0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,,0,,0,,,,,,0,,0,1,0,0,0
0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,,0,,0,,,,,,0,,0,1,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,,0,,0,1,1,1,0,0,0,,0,1,0,0,0
0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,,0,,0,1,1,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,,0,,0,1,1,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,,0,,0,1,1,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,,0,,0,1,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,,0,,0,1,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,,0,,0,1,0,1,0,0,0,,0,1,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,,0,,0,,,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,,0,,0,,,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,,,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,,,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,,,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,1,1,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,,0,1,1,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,,0,1,1,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,1,1,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,1,1,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,1,1,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,1,1,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,1,1,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,,0,1,1,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,,0,,0,1,1,0,0,1,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,,0,,1,1,0,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,,0,,1,1,0,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,,0,,0,,,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,,0,,0,,,,,,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,,0,,0,,,,,,0,1,0,0,0,0,0
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,,,,1,1,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,,,,1,1,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,,,,1,1,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,,,,,1,1,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,1,1,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,,,,1,1,,,,0,,0,0,0,1,0
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,,,,1,1,1,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,,,,1,1,1,1,0,0,1,0,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,,,,1,1,1,1,0,0,1,0,1,0,0,0,0
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,,,,1,1,1,1,0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,,,,1,1,1,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,,0,0,,1,0,0,0,,,,,,
0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,,,,0,0,,1,0,0,0,,,,,,
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,,,,0,0,,1,0,0,0,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,1,0,1,0,0,0,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,1,0,1,0,0,0,,,,,,
0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,0,0,,1,0,0,0,,1,0,0,0,0
0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,1,1,1,1,0,0,0,,1,0,0,0,0
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,1,1,0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,1,1,0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,1,1,0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,1,1,0,0,1,,0,1,0,0,0
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,0,1,0,0,1,,0,1,0,0,0
0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,1,1,0,1,0,0,1,,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,,0,0,,1,0,0,,,1,0,0,0,0
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,1,1,0,1,0,0,0,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,1,1,0,1,0,0,0,,,,,,
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,,,,1,1,0,1,0,0,0,,0,0,0,0,1
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,,,,1,1,0,1,0,0,0,,0,0,0,0,1
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,,,1,1,0,1,0,0,1,,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,,,1,1,1,1,0,0,1,,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,,1,1,1,1,0,0,1,,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,,1,1,1,1,0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,,1,1,1,1,0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,,1,1,1,1,0,0,0,,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,0,,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,0,,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,0,,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,0,,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,,,,0,0,,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,,,,0,0,,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,,,,1,1,0,1,0,0,1,,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,,,,1,1,0,1,0,0,0,,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,,,,1,1,0,1,0,0,0,,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,,,1,1,0,1,0,0,1,,0,0,0,0,1
0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,1,1,0,1,0,0,1,,0,0,0,0,1
0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,1,1,0,1,0,0,1,,,,,,
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,0,1,0,0,1,,0,0,0,1,0
0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,,,,0,0,,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,,,,0,0,,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,0,1,0,0,0,,,,,,
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,0,1,0,0,0,,,,,,
0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,,,,1,1,0,1,0,0,1,,,,,,
0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,,1,1,0,1,0,0,1,,,,,,
0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,,1,1,0,1,0,0,1,,,,,,
0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,,1,1,0,1,0,0,1,,,,,,
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,1,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,0,0,,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,0,1,0,1,0,0,,,,,,,
0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,,1,1,1,1,0,0,,,,,,,
